,set_url
80,https://maps.google.ru/maps?hl=ru&tab=wl
81,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=http://support.google.com/accounts/answer/61416%3Fhl%3Dru%26visit_id%3D637874264283832933-2678158537%26p%3Dws_cookies_notif%26rd%3D1&ec=GAZAdQ
82,http://www.google.com/setprefdomain?prefdom=RU&prev=http://www.google.ru/&sig=K_29a4U-DQ2v6aG7ufokY5SFIBelY%3D
83,http://google.com/intl/ru/about.html#content
84,https://support.google.com/websearch?p=search_help&hl=ru
85,https://policies.google.com/privacy?hl=ru
86,https://support.google.com/accounts/answer/61416?hl=ru
87,https://support.google.com/accounts/answer/61416?hl=ru&visit_id=637874264283832933-2678158537&p=ws_cookies_notif&rd=1&co=GENIE.Platform%3DDesktop
88,http://google.com/intl/ru/products
89,https://www.google.ru/intl/ru/about/products?tab=uh
90,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=https://www.google.com/advanced_search%3Fhl%3Dru%26authuser%3D0&ec=GAZAAQ
91,https://drive.google.com/?tab=wo
92,http://google.com/accounts/answer/27441?hl=ru&ref_topic=3382296
93,http://google.com/intl/ru/contact-google/
94,http://myaccount.google.com/
95,http://google.com/support/websearch?p=ws_cookies_notif&hl=ru#hcfe-content
96,https://www.google.com/doodles
97,https://abc.xyz/investor/conflictminerals/
98,http://google.com/intl/ru/about.html
99,https://careers.google.com/
100,http://google.com/url?q=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwj77IDxyMr3AhXulIsKHct7DPwQ8awCCAQ&usg=AOvVaw3J_-ntPkYdTAL07H-KWnMu
101,http://google.com/intl/ru/locations/
102,https://www.google.com/permissions/
103,https://accounts.google.com/ServiceLogin?hl=ru&passive=true&continue=http://www.google.com/%3Ftab%3Duu&ec=GAZAAQ
104,http://google.com/chrome/answer/95464
105,http://google.com/accounts/answer/2662856?hl=ru&ref_topic=3382296
106,http://www.google.com/setprefdomain?prefdom=RU&prev=http://www.google.ru/&sig=K__9VOAT2cL11QFrmJUSegR53Z5a0%3D
107,http://google.com/url?q=https://policies.google.com/terms%3Fhl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwj77IDxyMr3AhXulIsKHct7DPwQ8qwCCAU&usg=AOvVaw3XG__EO-9Ce9epVQPRpQfx
108,http://google.com/accounts/answer/32050
109,https://www.thinkwithgoogle.com/intl/ru-ru/
110,http://www.google.ru/history/optout?hl=ru
111,https://abc.xyz/investor/
112,http://google.com/accounts/answer/114129?hl=ru&ref_topic=3382296
113,http://google.com/intl/ru/products/
114,https://www.google.com/about/unwanted-software-policy.html
115,http://www.google.com/intl/ru/privacy.html
116,http://google.com/accounts/community?hl=ru
117,https://support.google.com/accounts/answer/61416?authuser=0&hl=ru
118,http://google.com/accounts/answer/3265955?hl=ru&ref_topic=3382296
119,http://google.com/accounts/answer/39612
120,https://support.google.com?hl=ru
121,http://www.google.ru/intl/ru/services/
122,https://policies.google.com/terms?hl=ru
123,https://accounts.google.com/SignUp?continue=https%3A%2F%2Faccounts.google.com%2F
124,http://google.com/intl/ru/policies/terms/
125,http://google.com/accounts/?hl=ru
126,http://google.com/safesearch?hl=ru&prev=https://www.google.com/preferences?hl%3Dru
127,http://www.google.com/setprefdomain?prefdom=RU&prev=http://www.google.ru/&sig=K_4cT1DGiM9f6kHZ7J3Sc4o1sf1xE%3D
128,http://google.com/url?q=https://support.google.com/websearch/%3Fp%3Dws_results_help%26hl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwj77IDxyMr3AhXulIsKHct7DPwQ8KwCCAM&usg=AOvVaw2ycFF_A4HDzNck2T2fyPlu
129,https://mail.google.com/mail/?tab=wm
130,https://accounts.google.com/AccountChooser?continue=https%3A%2F%2Faccounts.google.com%2F%3Fhl%3Dru&followup=https%3A%2F%2Faccounts.google.com%2F%3Fhl%3Dru&hl=ru
131,http://google.com/webhp?tab=ww
132,http://google.com/url?q=https://policies.google.com/privacy%3Fhl%3Dru%26fg%3D1&sa=U&ved=0ahUKEwjO2YPwyMr3AhWUy4sKHQV3CJUQ8awCCAQ&usg=AOvVaw104rfC5TPuc7pOFs5j6S9O
